dataset,seed,frac,method,acc,precision,recall,f1,n_tuned,train_time_s,infer_ms
USPS,3,1,SSF,0.9681,0.9656,0.9668,0.9661,1792,153.04,0.4861
USPS,3,1,Adapter,0.9596,0.9581,0.9570,0.9573,25440,64.45,0.4917
USPS,3,1,LoRA,0.9651,0.9627,0.9632,0.9626,49704,97.54,0.6864
USPS,3,1,LFW(ours),0.9372,0.9334,0.9324,0.9324,3072,54.63,0.4623
USPS,3,1,FFT,0.9701,0.9686,0.9685,0.9684,1218186,191.21,0.4573
USPS,4,1,ZeroShot,0.4330,0.7193,0.4399,0.4381,0,0.0,0.4528
USPS,4,0.05,LinearProbe,0.9118,0.9101,0.9026,0.9054,1290,1.44,0.4560
USPS,4,0.05,BitFit,0.8984,0.9111,0.8824,0.8896,8714,2.53,0.4564
USPS,4,0.05,SSF,0.9103,0.9101,0.8982,0.9015,1792,2.51,0.4762
USPS,4,0.05,Adapter,0.9352,0.9333,0.9277,0.9291,25440,3.90,0.4944
USPS,4,0.05,LoRA,0.9188,0.9255,0.9066,0.9128,49704,3.14,0.6969
USPS,4,0.05,LFW(ours),0.9153,0.9125,0.9069,0.9079,3072,4.92,0.4530
USPS,4,0.05,FFT,0.9422,0.9420,0.9362,0.9386,1218186,4.46,0.4566
USPS,4,0.1,LinearProbe,0.9243,0.9194,0.9164,0.9176,1290,4.26,0.4618
USPS,4,0.1,BitFit,0.9287,0.9272,0.9208,0.9229,8714,5.62,0.4539
USPS,4,0.1,SSF,0.9512,0.9482,0.9466,0.9472,1792,12.09,0.4814
USPS,4,0.1,Adapter,0.9442,0.9412,0.9384,0.9391,25440,4.64,0.4914
USPS,4,0.1,LoRA,0.9562,0.9529,0.9535,0.9530,49704,9.66,0.7200
USPS,4,0.1,LFW(ours),0.9263,0.9217,0.9199,0.9195,3072,9.20,0.4789
USPS,4,0.1,FFT,0.9567,0.9543,0.9525,0.9533,1218186,10.07,0.4626
USPS,4,0.2,LinearProbe,0.9327,0.9284,0.9273,0.9274,1290,13.61,0.4520
USPS,4,0.2,BitFit,0.9427,0.9412,0.9369,0.9385,8714,15.48,0.4485
USPS,4,0.2,SSF,0.9452,0.9431,0.9385,0.9402,1792,11.01,0.4882
USPS,4,0.2,Adapter,0.9542,0.9515,0.9500,0.9505,25440,20.07,0.4927
USPS,4,0.2,LoRA,0.9557,0.9528,0.9515,0.9520,49704,16.23,0.6955
USPS,4,0.2,LFW(ours),0.9367,0.9328,0.9307,0.9308,3072,15.94,0.4609
USPS,4,0.2,FFT,0.9571,0.9548,0.9534,0.9540,1218186,13.89,0.4549
USPS,4,0.5,LinearProbe,0.9292,0.9260,0.9244,0.9247,1290,17.92,0.4513
USPS,4,0.5,BitFit,0.9547,0.9512,0.9505,0.9507,8714,40.70,0.4569
