dataset,seed,sigma,method,f1,acc
Satimage,4,0.5,FFT,0.759705,0.798736
Satimage,4,0.5,BitFit,0.768869,0.808664
Satimage,4,1.0,ZeroShot,0.653397,0.674188
Satimage,4,1.0,LFW(ours),0.653397,0.674188
Satimage,4,1.0,FFT,0.623024,0.648014
Satimage,4,1.0,BitFit,0.653397,0.674188
Digits,0,0.1,ZeroShot,0.949721,0.951002
Digits,0,0.1,LFW(ours),0.938486,0.939866
Digits,0,0.1,FFT,0.945488,0.946548
Digits,0,0.1,BitFit,0.949721,0.951002
Digits,0,0.5,ZeroShot,0.933424,0.935412
Digits,0,0.5,LFW(ours),0.922603,0.924276
Digits,0,0.5,FFT,0.934524,0.935412
Digits,0,0.5,BitFit,0.933424,0.935412
Digits,0,1.0,ZeroShot,0.776430,0.777283
Digits,0,1.0,LFW(ours),0.771456,0.772829
Digits,0,1.0,FFT,0.758147,0.759465
Digits,0,1.0,BitFit,0.776430,0.777283
Digits,1,0.1,ZeroShot,0.961398,0.962138
Digits,1,0.1,LFW(ours),0.961398,0.962138
Digits,1,0.1,FFT,0.959166,0.959911
Digits,1,0.1,BitFit,0.961398,0.962138
Digits,1,0.5,ZeroShot,0.939278,0.939866
Digits,1,0.5,LFW(ours),0.939278,0.939866
Digits,1,0.5,FFT,0.918881,0.919822
Digits,1,0.5,BitFit,0.939278,0.939866
Digits,1,1.0,ZeroShot,0.784448,0.781737
Digits,1,1.0,LFW(ours),0.784448,0.781737
Digits,1,1.0,FFT,0.783530,0.781737
Digits,1,1.0,BitFit,0.784448,0.781737
Digits,2,0.1,ZeroShot,0.959319,0.959911
Digits,2,0.1,LFW(ours),0.959319,0.959911
Digits,2,0.1,FFT,0.966022,0.966592
Digits,2,0.1,BitFit,0.959319,0.959911
Digits,2,0.5,ZeroShot,0.929441,0.930958
Digits,2,0.5,LFW(ours),0.929441,0.930958
Digits,2,0.5,FFT,0.931651,0.933185
Digits,2,0.5,BitFit,0.929441,0.930958
Digits,2,1.0,ZeroShot,0.792306,0.792873
Digits,2,1.0,LFW(ours),0.792306,0.792873
Digits,2,1.0,FFT,0.785817,0.783964
Digits,2,1.0,BitFit,0.792306,0.792873
Digits,3,0.1,ZeroShot,0.968122,0.968820
Digits,3,0.1,LFW(ours),0.968122,0.968820
Digits,3,0.1,FFT,0.970001,0.971047
Digits,3,0.1,BitFit,0.968122,0.968820
Digits,3,0.5,ZeroShot,0.912309,0.913140
Digits,3,0.5,LFW(ours),0.912309,0.913140
Digits,3,0.5,FFT,0.909658,0.910913
Digits,3,0.5,BitFit,0.912309,0.913140
Digits,3,1.0,ZeroShot,0.776979,0.777283
Digits,3,1.0,LFW(ours),0.776979,0.777283
Digits,3,1.0,FFT,0.785086,0.786192
Digits,3,1.0,BitFit,0.776979,0.777283
Digits,4,0.1,ZeroShot,0.963161,0.964365
Digits,4,0.1,LFW(ours),0.963161,0.964365
Digits,4,0.1,FFT,0.968065,0.968820
Digits,4,0.1,BitFit,0.963161,0.964365
Digits,4,0.5,ZeroShot,0.930006,0.930958
Digits,4,0.5,LFW(ours),0.930006,0.930958
Digits,4,0.5,FFT,0.930013,0.930958
Digits,4,0.5,BitFit,0.930006,0.930958
Digits,4,1.0,ZeroShot,0.787981,0.788419
Digits,4,1.0,LFW(ours),0.787981,0.788419
Digits,4,1.0,FFT,0.807828,0.810690
Digits,4,1.0,BitFit,0.787981,0.788419
Spambase,0,0.1,ZeroShot,0.942096,0.945217
Spambase,0,0.1,LFW(ours),0.942096,0.945217
Spambase,0,0.1,FFT,0.943039,0.946087
Spambase,0,0.1,BitFit,0.942096,0.945217
Spambase,0,0.5,ZeroShot,0.855405,0.864348
Spambase,0,0.5,LFW(ours),0.855405,0.864348
Spambase,0,0.5,FFT,0.853685,0.862609
Spambase,0,0.5,BitFit,0.855405,0.864348
Spambase,0,1.0,ZeroShot,0.766735,0.784348
Spambase,0,1.0,LFW(ours),0.766735,0.784348
Spambase,0,1.0,FFT,0.766155,0.783478
Spambase,0,1.0,BitFit,0.766735,0.784348
Spambase,1,0.1,ZeroShot,0.920786,0.925217
Spambase,1,0.1,LFW(ours),0.920786,0.925217
Spambase,1,0.1,FFT,0.916882,0.921739
Spambase,1,0.1,BitFit,0.920786,0.925217
Spambase,1,0.5,ZeroShot,0.849280,0.859130
Spambase,1,0.5,LFW(ours),0.849280,0.859130
Spambase,1,0.5,FFT,0.846371,0.857391
Spambase,1,0.5,BitFit,0.849280,0.859130
Spambase,1,1.0,ZeroShot,0.769912,0.786957
Spambase,1,1.0,LFW(ours),0.769912,0.786957
Spambase,1,1.0,FFT,0.770232,0.790435
Spambase,1,1.0,BitFit,0.769912,0.786957
Spambase,2,0.1,ZeroShot,0.942338,0.945217
Spambase,2,0.1,LFW(ours),0.928092,0.932174
Spambase,2,0.1,FFT,0.935068,0.938261
Spambase,2,0.1,BitFit,0.942338,0.945217
Spambase,2,0.5,ZeroShot,0.851052,0.858261
Spambase,2,0.5,LFW(ours),0.840143,0.848696
Spambase,2,0.5,FFT,0.859332,0.866087
Spambase,2,0.5,BitFit,0.851052,0.858261
Spambase,2,1.0,ZeroShot,0.753784,0.766957
Spambase,2,1.0,LFW(ours),0.760045,0.774783
Spambase,2,1.0,FFT,0.759048,0.770435
Spambase,2,1.0,BitFit,0.753784,0.766957
Spambase,3,0.1,ZeroShot,0.924511,0.927826
Spambase,3,0.1,LFW(ours),0.926386,0.929565
Spambase,3,0.1,FFT,0.926496,0.929565
Spambase,3,0.1,BitFit,0.924511,0.927826
Spambase,3,0.5,ZeroShot,0.848217,0.856522
Spambase,3,0.5,LFW(ours),0.822509,0.831304
Spambase,3,0.5,FFT,0.851289,0.858261
Spambase,3,0.5,BitFit,0.848217,0.856522
Spambase,3,1.0,ZeroShot,0.779418,0.790435
Spambase,3,1.0,LFW(ours),0.752364,0.765217
Spambase,3,1.0,FFT,0.787094,0.796522
Spambase,3,1.0,BitFit,0.779418,0.790435
Spambase,4,0.1,ZeroShot,0.942613,0.945217
Spambase,4,0.1,LFW(ours),0.942613,0.945217
Spambase,4,0.1,FFT,0.945061,0.947826
Spambase,4,0.1,BitFit,0.942613,0.945217
Spambase,4,0.5,ZeroShot,0.848964,0.855652
Spambase,4,0.5,LFW(ours),0.848964,0.855652
Spambase,4,0.5,FFT,0.846110,0.854783
Spambase,4,0.5,BitFit,0.848964,0.855652
Spambase,4,1.0,ZeroShot,0.752618,0.769565
Spambase,4,1.0,LFW(ours),0.752618,0.769565
Spambase,4,1.0,FFT,0.752793,0.772174
Spambase,4,1.0,BitFit,0.752618,0.769565
Credit-g,0,0.1,ZeroShot,0.544290,0.704000
Credit-g,0,0.1,LFW(ours),0.503968,0.600000
Credit-g,0,0.1,FFT,0.454288,0.692000
Credit-g,0,0.1,BitFit,0.544290,0.704000
Credit-g,0,0.5,ZeroShot,0.538656,0.696000
Credit-g,0,0.5,LFW(ours),0.478958,0.564000
Credit-g,0,0.5,FFT,0.462158,0.688000
Credit-g,0,0.5,BitFit,0.538656,0.696000
Credit-g,0,1.0,ZeroShot,0.489664,0.652000
Credit-g,0,1.0,LFW(ours),0.539312,0.616000
Credit-g,0,1.0,FFT,0.491427,0.692000
Credit-g,0,1.0,BitFit,0.489664,0.652000
Credit-g,1,0.1,ZeroShot,0.406176,0.684000
Credit-g,1,0.1,LFW(ours),0.500000,0.680000
Credit-g,1,0.1,FFT,0.509913,0.684000
Credit-g,1,0.1,BitFit,0.406176,0.684000
Credit-g,1,0.5,ZeroShot,0.406176,0.684000
Credit-g,1,0.5,LFW(ours),0.507341,0.680000
Credit-g,1,0.5,FFT,0.504781,0.676000
Credit-g,1,0.5,BitFit,0.406176,0.684000
Credit-g,1,1.0,ZeroShot,0.406176,0.684000
Credit-g,1,1.0,LFW(ours),0.521119,0.680000
Credit-g,1,1.0,FFT,0.525333,0.644000
Credit-g,1,1.0,BitFit,0.406176,0.684000
Credit-g,2,0.1,ZeroShot,0.453566,0.484000
Credit-g,2,0.1,LFW(ours),0.510519,0.592000
Credit-g,2,0.1,FFT,0.440537,0.664000
Credit-g,2,0.1,BitFit,0.495238,0.576000
Credit-g,2,0.5,ZeroShot,0.473209,0.496000
Credit-g,2,0.5,LFW(ours),0.458411,0.524000
Credit-g,2,0.5,FFT,0.426805,0.604000
Credit-g,2,0.5,BitFit,0.465034,0.524000
Credit-g,2,1.0,ZeroShot,0.451791,0.472000
Credit-g,2,1.0,LFW(ours),0.444205,0.504000
Credit-g,2,1.0,FFT,0.433913,0.580000
Credit-g,2,1.0,BitFit,0.450294,0.508000
Credit-g,3,0.1,ZeroShot,0.416501,0.680000
Credit-g,3,0.1,LFW(ours),0.537703,0.568000
Credit-g,3,0.1,FFT,0.494099,0.500000
Credit-g,3,0.1,BitFit,0.416501,0.680000
Credit-g,3,0.5,ZeroShot,0.416501,0.680000
Credit-g,3,0.5,LFW(ours),0.529812,0.556000
Credit-g,3,0.5,FFT,0.488636,0.496000
Credit-g,3,0.5,BitFit,0.416501,0.680000
Credit-g,3,1.0,ZeroShot,0.469357,0.684000
Credit-g,3,1.0,LFW(ours),0.561918,0.588000
Credit-g,3,1.0,FFT,0.477959,0.492000
Credit-g,3,1.0,BitFit,0.469357,0.684000
Credit-g,4,0.1,ZeroShot,0.406176,0.684000
Credit-g,4,0.1,LFW(ours),0.466908,0.572000
Credit-g,4,0.1,FFT,0.406176,0.684000
Credit-g,4,0.1,BitFit,0.406176,0.684000
